Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
3/15/18,HMZXNPA25D,3/14/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,1427.96
3/15/18,HMZXNPA25D,3/14/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,475.99
3/15/18,HMZXNPA25D,3/14/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
3/14/18,HMT5BABZZY,3/13/18,3,"Huge Woodside Home! Big Kitchen, BBQ, Pool",1669
3/14/18,HMT5BABZZY,3/13/18,,"Huge Woodside Home! Big Kitchen, BBQ, Pool",
3/9/18,HMXRXPDCNZ,3/8/18,1,"Huge Woodside Home! Big Kitchen, BBQ, Pool",20
3/9/18,HMR2FQDRFQ,3/7/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,1402.5
3/9/18,HMR2FQDRFQ,3/7/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,159.38
3/8/18,HMR2FQDRFQ,3/7/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,467.49
3/8/18,HMR2FQDRFQ,3/7/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
3/8/18,HMR2FQDRFQ,3/7/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,53.12
2/28/18,HMYTWB2Z9B,2/26/18,63,"Retro Suite, 2 sleeping areas- near Stanford",2449.36
2/28/18,HMYTWB2Z9B,2/26/18,63,"Retro Suite, 2 sleeping areas- near Stanford",612.34
2/28/18,HMYTWB2Z9B,2/26/18,,"Retro Suite, 2 sleeping areas- near Stanford",
2/27/18,HMBHTSEBFK,2/25/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,1530.42
2/26/18,HMXP3TY4BQ,2/25/18,17,Huge Guesthouse near Stanford: 2 Bedr+office+patio,4038.84
2/26/18,HMXP3TY4BQ,2/25/18,17,Huge Guesthouse near Stanford: 2 Bedr+office+patio,1009.71
2/26/18,HMXP3TY4BQ,2/25/18,,Huge Guesthouse near Stanford: 2 Bedr+office+patio,
2/26/18,HMBHTSEBFK,2/25/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,510.13
2/26/18,HMBHTSEBFK,2/25/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
2/22/18,HMWEP9BXTZ,2/20/18,5,NEW Gorgeous 4 bedr Home + Garden near Stanford,937.49
2/21/18,HMWEP9BXTZ,2/20/18,5,NEW Gorgeous 4 bedr Home + Garden near Stanford,312.51
2/21/18,HMWEP9BXTZ,2/20/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
2/20/18,HMRYAAH89S,2/19/18,6,"Spacious 3 Bedr Apt, ideal location",1400
2/20/18,HMRYAAH89S,2/19/18,6,"Spacious 3 Bedr Apt, ideal location",350
2/20/18,HMRYAAH89S,2/19/18,,"Spacious 3 Bedr Apt, ideal location",
2/19/18,HMBQ92KESF,2/17/18,2,NEW Gorgeous 4 bedr Home + Garden near Stanford,495.75
2/18/18,HMBQ92KESF,2/17/18,2,NEW Gorgeous 4 bedr Home + Garden near Stanford,165.25
2/18/18,HMBQ92KESF,2/17/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
2/17/18,HMZSKKTJSZ,2/16/18,7,"Retro Suite, 2 sleeping areas- near Stanford",859.33
2/17/18,HMZSKKTJSZ,2/16/18,7,"Retro Suite, 2 sleeping areas- near Stanford",214.83
2/17/18,HMZSKKTJSZ,2/16/18,,"Retro Suite, 2 sleeping areas- near Stanford",
2/15/18,HMXDMB92PS,2/13/18,3,NEW Gorgeous 4 bedr Home + Garden near Stanford,690
2/14/18,HMXDMB92PS,2/13/18,3,NEW Gorgeous 4 bedr Home + Garden near Stanford,230
2/14/18,HMXDMB92PS,2/13/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
2/13/18,HMRHWFDSJ4,2/12/18,3,Huge Guesthouse near Stanford: 2 Bedr+office+patio,1075.2
